transaction_id,customer_id,transaction_date,store_region,product_category,quantity,sale_amount,payment_method
100004,5021,2024-01-03,East,Electronics,3,1199.97,Credit Card
100008,5050,2024-01-04,East,Clothing,4,159.96,Cash
100012,5042,2024-01-06,East,Home,3,389.97,Cash
100016,5011,2024-01-07,East,Electronics,2,699.98,Credit Card
100020,5038,2024-01-08,East,Clothing,3,119.97,Mobile Pay
100024,5025,2024-01-10,East,Home,2,179.98,Mobile Pay
100028,5013,2024-01-11,East,Electronics,3,1349.97,Mobile Pay
100032,5052,2024-01-12,East,Clothing,4,199.96,Mobile Pay
100036,5048,2024-01-14,East,Home,3,329.97,Mobile Pay
100040,5002,2024-01-15,East,Electronics,2,749.98,Mobile Pay
100044,5007,2024-01-16,East,Clothing,3,149.97,Mobile Pay
100048,5041,2024-01-18,East,Home,2,159.98,Mobile Pay
100052,5026,2024-01-19,East,Electronics,3,1199.97,Mobile Pay
100056,5037,2024-01-20,East,Clothing,4,159.96,Mobile Pay
100060,5024,2024-01-22,East,Home,3,389.97,Mobile Pay
100064,5015,2024-01-23,East,Electronics,2,699.98,Mobile Pay
100068,5052,2024-01-24,East,Clothing,3,119.97,Mobile Pay
100072,5029,2024-01-26,East,Home,2,179.98,Mobile Pay
100076,5013,2024-01-27,East,Electronics,3,1349.97,Mobile Pay
100080,5054,2024-01-28,East,Clothing,4,199.96,Mobile Pay
100084,5048,2024-01-30,East,Home,3,329.97,Mobile Pay
100088,5003,2024-01-31,East,Electronics,2,749.98,Mobile Pay
100092,5008,2024-02-01,East,Clothing,3,149.97,Mobile Pay
100096,5041,2024-02-03,East,Home,2,159.98,Mobile Pay
100100,5026,2024-02-04,East,Electronics,3,1199.97,Mobile Pay
100104,5037,2024-02-05,East,Clothing,4,159.96,Mobile Pay
100108,5024,2024-02-07,East,Home,3,389.97,Mobile Pay
100112,5015,2024-02-08,East,Electronics,2,699.98,Mobile Pay
100116,5052,2024-02-09,East,Clothing,3,119.97,Mobile Pay
100120,5029,2024-02-11,East,Home,2,179.98,Mobile Pay
100124,5013,2024-02-12,East,Electronics,3,1349.97,Mobile Pay
100128,5054,2024-02-13,East,Clothing,4,199.96,Mobile Pay
100132,5048,2024-02-15,East,Home,3,329.97,Mobile Pay
100136,5003,2024-02-16,East,Electronics,2,749.98,Mobile Pay
100140,5008,2024-02-17,East,Clothing,3,149.97,Mobile Pay
100144,5041,2024-02-19,East,Home,2,159.98,Mobile Pay
100148,5026,2024-02-20,East,Electronics,3,1199.97,Mobile Pay
100152,5037,2024-02-21,East,Clothing,4,159.96,Mobile Pay
100156,5024,2024-02-23,East,Home,3,389.97,Mobile Pay
100160,5015,2024-02-24,East,Electronics,2,699.98,Mobile Pay
100164,5052,2024-02-25,East,Clothing,3,119.97,Mobile Pay
100168,5029,2024-02-27,East,Home,2,179.98,Mobile Pay
100172,5013,2024-02-28,East,Electronics,3,1349.97,Mobile Pay
100176,5054,2024-02-29,East,Clothing,4,199.96,Mobile Pay
100180,5048,2024-03-02,East,Home,3,329.97,Mobile Pay
100184,5003,2024-03-03,East,Electronics,2,749.98,Mobile Pay
100188,5008,2024-03-04,East,Clothing,3,149.97,Mobile Pay
100192,5041,2024-03-06,East,Home,2,159.98,Mobile Pay
100196,5026,2024-03-07,East,Electronics,3,1199.97,Mobile Pay
100200,5037,2024-03-08,East,Clothing,4,159.96,Mobile Pay
