transaction_id,customer_id,transaction_date,store_region,product_category,quantity,sale_amount,payment_method
100002,5034,2024-01-02,West,Clothing,2,79.98,Debit Card
100006,5018,2024-01-04,West,Home,2,259.98,Credit Card
100010,5015,2024-01-05,West,Electronics,2,799.98,Mobile Pay
100014,5002,2024-01-06,West,Clothing,2,99.98,Debit Card
100018,5047,2024-01-08,West,Home,2,239.98,Debit Card
100022,5008,2024-01-09,West,Electronics,2,999.98,Debit Card
100026,5001,2024-01-10,West,Clothing,2,89.98,Debit Card
100030,5006,2024-01-12,West,Home,2,219.98,Debit Card
100034,5004,2024-01-13,West,Electronics,2,899.98,Debit Card
100038,5022,2024-01-14,West,Clothing,2,109.98,Debit Card
100042,5014,2024-01-16,West,Home,2,199.98,Debit Card
100046,5050,2024-01-17,West,Electronics,2,899.98,Debit Card
100050,5033,2024-01-18,West,Clothing,2,99.98,Debit Card
100054,5019,2024-01-20,West,Home,2,259.98,Debit Card
100058,5049,2024-01-21,West,Electronics,2,799.98,Debit Card
100062,5006,2024-01-22,West,Clothing,2,99.98,Debit Card
100066,5001,2024-01-24,West,Home,2,239.98,Debit Card
100070,5004,2024-01-25,West,Electronics,2,999.98,Debit Card
100074,5002,2024-01-26,West,Clothing,2,89.98,Debit Card
100078,5007,2024-01-28,West,Home,2,219.98,Debit Card
100082,5005,2024-01-29,West,Electronics,2,899.98,Debit Card
100086,5022,2024-01-30,West,Clothing,2,109.98,Debit Card
100090,5014,2024-02-01,West,Home,2,199.98,Debit Card
100094,5050,2024-02-02,West,Electronics,2,899.98,Debit Card
100098,5033,2024-02-03,West,Clothing,2,99.98,Debit Card
100102,5019,2024-02-05,West,Home,2,259.98,Debit Card
100106,5049,2024-02-06,West,Electronics,2,799.98,Debit Card
100110,5006,2024-02-07,West,Clothing,2,99.98,Debit Card
100114,5001,2024-02-09,West,Home,2,239.98,Debit Card
100118,5004,2024-02-10,West,Electronics,2,999.98,Debit Card
100122,5002,2024-02-11,West,Clothing,2,89.98,Debit Card
100126,5007,2024-02-13,West,Home,2,219.98,Debit Card
100130,5005,2024-02-14,West,Electronics,2,899.98,Debit Card
100134,5022,2024-02-15,West,Clothing,2,109.98,Debit Card
100138,5014,2024-02-17,West,Home,2,199.98,Debit Card
100142,5050,2024-02-18,West,Electronics,2,899.98,Debit Card
100146,5033,2024-02-19,West,Clothing,2,99.98,Debit Card
100150,5019,2024-02-21,West,Home,2,259.98,Debit Card
100154,5049,2024-02-22,West,Electronics,2,799.98,Debit Card
100158,5006,2024-02-23,West,Clothing,2,99.98,Debit Card
100162,5001,2024-02-25,West,Home,2,239.98,Debit Card
100166,5004,2024-02-26,West,Electronics,2,999.98,Debit Card
100170,5002,2024-02-27,West,Clothing,2,89.98,Debit Card
100174,5007,2024-02-29,West,Home,2,219.98,Debit Card
100178,5005,2024-03-01,West,Electronics,2,899.98,Debit Card
100182,5022,2024-03-02,West,Clothing,2,109.98,Debit Card
100186,5014,2024-03-04,West,Home,2,199.98,Debit Card
100190,5050,2024-03-05,West,Electronics,2,899.98,Debit Card
100194,5033,2024-03-06,West,Clothing,2,99.98,Debit Card
100198,5019,2024-03-08,West,Home,2,259.98,Debit Card
