empno,GENDER,AGE
1,M,22
2,M,23
3,F,26
4,F,21
5,F,23
6,F,25
7,F,24
8,F,27
9,M,23
10,M,24
11,M,25
12,M,22
13,M,23
14,M,26
15,F,21
16,F,23
17,F,25
18,F,24
19,MALE,27
20,M,23
21,M,24
22,M,25
23,F,22
24,FEMALE,23
25,F,26
26,F,21
27,M,23
28,MALE,25
29,F,24
30,F,27
31,F,23
32,F,24
33,F,25
34,F,22
35,M,23
36,M,26
37,M,21
38,M,23
39,M,25
40,M,24
41,F,27
42,F,23
43,F,24
44,F,25
45,M,22
46,M,23
47,M,26
48,M,21
49,F,23
50,F,25
51,F,24
52,F,27
53,M,23
54,M,24
55,F,25
56,F,22
57,F,23
58,F,26
59,F,21
60,F,23
61,M,25
62,M,24
63,M,27
64,M,23
65,M,24
66,M,25
67,F,22
68,F,23
69,F,26
70,F,21
71,M,23
72,M,25
73,M,24
74,M,27
75,F,23
76,F,24
77,F,25
78,F,22
79,M,23
80,M,26
81,F,21
82,F,23
83,F,25
84,F,24
85,F,27
86,F,23
87,M,24
88,M,25
89,M,22
90,M,23
91,M,26
92,M,21
93,F,23
94,F,25
95,F,24
96,F,27
97,M,23
98,M,24
99,M,25
100,M,22
101,F,23
102,F,26
103,F,21
104,F,23
105,M,25
106,M,24
107,F,27
108,F,23
109,F,24
110,F,25
111,F,22
112,F,23
113,M,26
114,M,21
115,M,23
116,M,25
117,M,24
118,M,27
119,F,23
120,F,24
121,F,25
122,F,22
123,M,23
124,M,26
125,M,21
126,M,23
127,F,25
128,F,24
129,F,27
130,F,23
131,M,24
132,F,25
