empno,JPI,APTITUDE,TESTOFENGLISH,TECHNICAL,GENERAL
1,0,45.18,56.18,52.18,45.45
2,0,33.12,34.47,51.68,52.1
3,1,56.92,56.28,53.87,53.61
4,0,53.43,60.51,47.88,47.71
5,0,52.68,52.28,48.34,47.1
6,0,41.31,43.75,48.91,42.47
7,0,62.42,39.88,41.45,37.28
8,1,54.25,62.47,58.84,52.92
9,1,58.36,62.05,53.39,55.33
10,1,62.63,46.65,54.86,49.81
11,0,46.52,41.63,46.22,45.98
12,1,68.45,61.67,58.26,56.16
13,1,73.12,62.57,48.71,46.76
14,0,43.48,58.96,50.67,40.56
15,1,55.12,52.59,55.95,56.55
16,1,56.9,65.4,53.48,56.91
17,1,54.16,43.13,52.51,53.61
18,1,75.19,62.33,55.11,57.83
19,1,51.1,65.19,56.66,51.02
20,0,62.27,48.85,49.69,46.1
21,0,39.51,61.37,47.8,45.34
22,1,49.3,59.03,60.81,52.77
23,0,53.72,39.38,47.31,41.5
24,1,49.01,61,58.01,54.28
25,0,46.14,65.04,50.76,43.26
26,1,53.62,65.07,59.33,52.11
27,0,35.66,35.36,58.64,52.22
28,1,60.23,65.13,54.26,59.59
29,0,56.67,69.8,50.43,55.33
30,1,54.91,56.32,51.44,49.05
31,0,44.06,44.98,53.41,50.64
32,0,70.15,48.11,47.06,41.09
33,1,55.83,67.35,67.67,54.17
34,0,44.64,56.41,53.01,44.18
35,0,34.45,33.61,52.68,52.27
36,1,57.57,54.97,52.83,52.54
37,0,52.3,59.75,48.21,47.97
38,0,52.07,52.48,48.16,46.97
39,0,40.8,44.82,48.96,44.06
40,0,61.69,40.83,42.79,37.19
41,1,54.45,62.98,59.24,54.13
42,1,57.35,61.55,55.01,54.86
43,1,63.26,45.08,55.71,49.58
44,0,45.1,43.31,47.26,46.5
45,1,69.17,61.2,58.12,56.52
46,1,71.78,61.99,50.08,46.19
47,0,43.94,57.84,50.91,39.46
48,1,54.58,52.07,54.86,57.37
49,1,56.35,66.24,52.42,56.03
50,1,55.03,42.44,51.9,53.55
51,1,75.74,62.35,53.82,57.75
52,1,50.44,65.29,56.04,49.24
53,0,62.49,48.57,50.5,46.53
54,0,38.35,63,47.89,46.04
55,1,49.41,59.43,58.88,53.74
56,0,54.09,39.29,47.64,41.28
57,1,48.93,61.05,59.24,55.26
58,0,45.76,65.25,50.58,43.67
59,1,54.04,64.61,57.56,52.4
60,0,34.44,35.85,57.58,53.13
61,1,60.02,63.72,54.61,59.56
62,0,56.52,70.07,51.13,54.29
63,1,55.17,56.78,51.2,48.43
64,0,45.87,46.09,52.62,50.59
65,0,69.57,47.7,47.12,40.47
66,1,56.18,67.52,68.91,54.09
67,0,43.87,56.3,52.28,44.43
68,0,33.97,34.41,52.37,52.28
69,1,58.2,56.29,53.01,53.24
70,0,52.29,61.22,47.51,48.22
71,0,52.58,53.15,49.55,46.12
72,0,41.12,43.81,49.9,43.42
73,0,62.36,40.2,42.44,38.63
74,1,55.25,61.23,59.38,53.64
75,1,57.13,61.29,53.55,54.79
76,1,61.32,46.12,54.73,50.57
77,0,45.52,42.21,46.75,46.72
78,1,69.03,61.16,58.09,56.26
79,1,73.54,63.33,48.99,46.84
80,0,43.52,57.64,51.2,39.81
81,1,54.7,52.01,56.52,57.85
82,1,57.63,66.08,54.09,56.38
83,1,54.9,43.79,52.36,53.33
84,1,75.67,61.91,55.19,56.55
85,1,50.15,66.1,56.12,50.38
86,0,60.97,48.65,50.42,45.89
87,0,38.86,62.67,47.51,45.49
88,1,50.36,59.67,59.42,53.54
89,0,52.93,38.34,48.07,42.7
90,1,48.41,62.07,59.85,55.17
91,0,47.09,66.36,51.29,44.02
92,1,52.68,64.76,58.16,53.94
93,0,35.1,34.38,58.54,53.69
94,1,59.9,64.2,54.85,59.19
95,0,55.35,69.04,51.21,54.36
96,0,56.28,57.31,51.94,48.65
97,0,44.43,45.35,52.84,51.55
98,0,69.18,49.04,48.4,41.24
99,1,56.67,68.47,67.72,55.32
100,0,45.18,57.74,52.92,43.6
101,0,34.48,32.94,52.87,52.97
102,1,57.5,55.49,54.23,54.28
103,0,53.15,61.08,48.06,49.59
104,0,52.23,53.48,48.85,46.02
105,0,41.14,43.79,49.26,43.01
106,0,62.42,40.33,41.93,38.18
107,1,54.2,62.46,59.23,53.54
108,1,57.31,62.53,54.93,55.14
109,1,61.58,46.64,56.12,50.49
110,0,46.35,42.16,46.16,46.9
111,1,68.67,60.93,57.61,55.97
112,1,71.89,62.75,48.49,46.07
113,0,43.4,58.16,50.77,40.19
114,1,54.71,53.01,55.05,58.01
115,1,56.2,65.69,53.2,57.22
116,1,54.81,43.06,52.8,53.02
117,1,76.96,61.06,54.78,57.27
118,1,49.6,65.06,57.41,50
119,0,61.64,48.58,50.81,47.12
120,0,39.45,63.08,48.03,45.44
121,1,49.14,58.14,59.7,54.1
122,0,52.98,39.45,48.84,41.35
123,1,49.63,62.81,59.19,54.96
124,0,45.98,66,50.58,44.21
125,1,52.37,64.26,58.48,52.83
126,0,34.77,35.8,57.55,53.18
127,1,59.93,63.49,53.33,59.95
128,0,55.82,69.72,51.88,54.63
129,1,55.8,56.69,50.96,48.14
130,0,44.63,44.89,52.5,51.75
131,0,69.14,49.06,47.2,41
132,1,56.77,67.86,67.63,53.81
