CustomerID,Gender,Age
12346,M,67
12747,M,50
12748,F,23
12749,F,41
12820,F,28
12821,M,56
12822,M,41
12823,F,68
12824,F,48
12826,F,34
12827,M,47
12828,M,32
12829,M,38
12830,F,60
12831,F,30
12832,F,22
12833,M,33
12834,M,70
12836,M,27
12837,M,65
12838,F,21
12839,F,50
12840,F,54
12841,M,31
12842,M,53
12843,F,58
12844,F,28
12845,F,46
12847,M,23
12849,M,39
12851,M,40
12852,F,52
12853,F,67
12854,F,27
12856,M,56
12857,M,52
12863,M,70
12864,M,50
12867,F,34
12868,F,42
12871,F,24
12872,M,59
12873,M,48
12875,F,56
12877,F,35
12878,F,44
12879,M,45
12881,M,30
12882,M,66
12883,F,29
12884,F,31
12885,F,67
12886,M,44
12888,M,51
12890,M,60
12891,M,22
12893,F,38
12895,F,27
12897,F,24
12901,M,55
12902,M,48
12904,F,45
12906,F,40
12908,F,38
12909,M,23
12910,M,33
12912,M,29
12913,F,25
12915,F,46
12916,F,52
12917,M,22
12919,M,67
12920,M,35
12921,M,21
12922,F,47
12923,F,31
12924,F,45
12925,M,63
12928,M,66
12929,F,33
12930,F,59
12931,F,52
12933,M,62
12935,M,36
12936,M,28
12937,F,32
12938,F,52
12939,F,43
12940,M,46
12942,M,65
12943,M,60
12944,M,53
12945,F,61
12947,F,35
12948,F,54
12949,M,51
12950,M,54
12951,F,40
12952,F,58
12953,F,56
12955,M,61
12956,M,58
12957,M,56
12962,F,67
12963,F,36
12965,F,56
12966,M,41
12967,M,69
12968,M,27
12970,M,61
12971,F,41
12974,F,40
12976,F,58
12977,M,49
12980,M,22
12981,F,54
12982,F,66
12984,F,66
12985,M,43
12987,M,39
12988,M,44
12989,F,41
12990,F,61
12991,F,66
12993,M,54
12994,M,39
12995,M,28
12997,M,39
12999,F,60
13000,F,58
13001,F,56
13002,M,25
13003,M,40
13004,F,28
13005,F,30
13006,F,61
13008,M,54
13012,M,68
13013,M,33
13014,F,58
13015,F,42
13016,F,45
13017,M,59
13018,M,64
13021,M,42
13023,M,57
13026,F,69
13027,F,46
13028,F,65
13029,M,35
13030,M,36
13032,F,69
13034,F,46
13035,F,57
13037,M,55
13038,M,40
13040,M,27
13043,F,53
13044,F,21
13045,F,48
13046,M,54
13047,M,68
13048,M,28
13049,M,49
13050,F,30
13052,F,50
13055,F,30
13058,M,39
13059,M,60
13060,F,66
13061,F,61
13062,F,43
13064,M,62
13066,M,48
13067,M,51
13068,F,60
13069,F,56
13070,F,48
13072,M,22
13075,M,69
13077,M,43
13078,M,42
13079,F,28
13080,F,67
13081,F,39
13082,M,60
13083,M,21
13085,F,20
13089,F,68
13090,F,31
13091,M,21
13092,M,48
13093,M,41
13094,F,46
13095,F,46
13097,F,45
13098,M,59
13099,M,53
13101,M,42
13102,M,20
13103,F,58
13104,F,22
13106,F,43
13107,M,62
13109,M,42
13110,F,43
13113,F,67
13115,F,39
13116,M,22
13117,M,46
13118,M,25
13120,F,51
13121,F,39
13122,F,37
13124,M,44
13126,M,26
13127,M,58
13130,M,45
13131,F,67
13132,F,47
13133,F,63
13134,M,23
13135,M,34
13136,F,32
13137,F,67
13138,F,27
13139,M,55
13140,M,63
13141,M,48
13142,F,26
13144,F,58
13145,F,28
13146,M,64
13147,M,68
13148,M,50
13149,M,33
13151,F,52
13153,F,35
13154,F,25
13155,M,20
13157,M,50
13158,F,29
13159,F,41
13160,F,42
13161,M,41
13162,M,30
13165,M,69
13166,F,64
13167,F,65
13168,F,41
