UserID,OS,Python_Installed,Install_Method,Python_Version,Uses_Anaconda,Primary_IDE,First_Program_Success
1001,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1002,Mac,Yes,DirectDownload,3.9,No,VSCode,Yes
1003,Linux,No,None,None,No,None,No
1004,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1005,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1006,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1007,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1008,Windows,No,None,None,No,None,No
1009,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1010,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1011,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1012,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1013,Mac,No,None,None,No,None,No
1014,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1015,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1016,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1017,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1018,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1019,Windows,No,None,None,No,None,No
1020,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1021,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1022,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1023,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1024,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1025,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1026,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1027,Mac,No,None,None,No,None,No
1028,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1029,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1030,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1031,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1032,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1033,Windows,No,None,None,No,None,No
1034,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1035,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1036,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1037,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1038,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1039,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1040,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1041,Mac,No,None,None,No,None,No
1042,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1043,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1044,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1045,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
1046,Windows,Yes,Anaconda,3.9,Yes,Spyder,Yes
1047,Windows,No,None,None,No,None,No
1048,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1049,Linux,Yes,DirectDownload,3.9,No,Terminal,Yes
1050,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1051,Mac,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1052,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1053,Linux,Yes,DirectDownload,3.10,No,Terminal,Yes
1054,Windows,Yes,DirectDownload,3.9,No,PyCharm,Yes
1055,Mac,No,None,None,No,None,No
1056,Windows,Yes,Anaconda,3.7,Yes,Jupyter,Yes
1057,Windows,Yes,DirectDownload,3.8,No,VSCode,Yes
1058,Linux,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1059,Mac,Yes,DirectDownload,3.10,No,VSCode,Yes
1060,Windows,Yes,Anaconda,3.8,Yes,Spyder,Yes
1061,Windows,No,None,None,No,None,No
1062,Mac,Yes,Anaconda,3.9,Yes,Jupyter,Yes
1063,Linux,Yes,DirectDownload,3.7,No,Terminal,Yes
1064,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1065,Mac,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1066,Windows,Yes,Anaconda,3.7,Yes,Spyder,Yes
1067,Linux,Yes,DirectDownload,3.8,No,Terminal,Yes
1068,Windows,Yes,DirectDownload,3.9,No,VSCode,Yes
1069,Mac,No,None,None,No,None,No
1070,Windows,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1071,Windows,Yes,DirectDownload,3.10,No,PyCharm,Yes
1072,Linux,Yes,Anaconda,3.8,Yes,Jupyter,Yes
1073,Mac,Yes,DirectDownload,3.7,No,VSCode,Yes
